,precision,recall,f1-score,label,time
0,0.999952,0.999901,0.999926,BENIGN,
1,0.999348,0.999830,0.999589,DoS Hulk,
2,0.999154,0.998643,0.998897,SSH-Patator,
3,0.999855,0.999465,0.999659,PortScan,
4,0.993015,0.992810,0.992908,DoS GoldenEye,
5,0.999867,0.999820,0.999843,DDoS,
6,1.0,1.0,1.0,Heartbleed,
7,0.707473,0.895185,0.788708,Web Attack Brute Force,
8,0.998616,0.999873,0.999244,FTP-Patator,
9,0.416052,0.168432,0.221555,Web Attack XSS,
10,0.985246,0.991719,0.988426,DoS slowloris,
11,1.0,0.971428,0.984615,Infiltration,
12,0.923700,0.948878,0.935691,Bot,
13,0.58,0.329999,0.413333,Web Attack Sql Injection,
14,0.989998,0.988906,0.989445,DoS Slowhttptest,
15,-,-,-,-,
16,-,-,0.999512,Accuracy,
17,0.906152,0.885659,0.887456,Macro Avg,
18,0.999467,0.999512,0.999465,Weighted Avg,53.910447557767235
