,precision,recall,f1-score,label,time
0,0.999959,0.999877,0.999918,BENIGN,
1,0.999400,0.999782,0.999591,DoS Hulk,
2,0.998815,0.999151,0.998982,SSH-Patator,
3,0.999848,0.999439,0.999644,PortScan,
4,0.992143,0.991644,0.991882,DoS GoldenEye,
5,0.999890,0.999812,0.999851,DDoS,
6,1.0,1.0,1.0,Heartbleed,
7,0.742405,0.670808,0.700385,Web Attack Brute Force,
8,0.998993,0.999873,0.999433,FTP-Patator,
9,0.387675,0.484380,0.425742,Web Attack XSS,
10,0.990647,0.986025,0.988328,DoS slowloris,
11,1.0,0.942857,0.969230,Infiltration,
12,0.897904,0.965747,0.929358,Bot,
13,0.694285,0.809999,0.744444,Web Attack Sql Injection,
14,0.987307,0.989452,0.988375,DoS Slowhttptest,
15,-,-,-,-,
16,-,-,0.999441,Accuracy,
17,0.912618,0.922590,0.915677,Macro Avg,
18,0.999475,0.999441,0.999451,Weighted Avg,58.244429699579875
