,precision,recall,f1-score,label,time
0,0.999967,0.999855,0.999911,BENIGN,
1,0.999448,0.999387,0.999417,DoS Hulk,
2,0.995285,0.999830,0.99755,SSH-Patator,
3,0.999886,0.999351,0.999618,PortScan,
4,0.990694,0.988047,0.989319,DoS GoldenEye,
5,0.999275,0.999851,0.999562,DDoS,
6,1.0,1.0,1.0,Heartbleed,
7,0.734542,0.731196,0.731978,Web Attack Brute Force,
8,0.999370,0.999622,0.999495,FTP-Patator,
9,0.375405,0.424639,0.397141,Web Attack XSS,
10,0.985822,0.989822,0.987782,DoS slowloris,
11,1.0,0.971428,0.984615,Infiltration,
12,0.879099,0.9673,0.919662,Bot,
13,0.74,0.76,0.732601,Web Attack Sql Injection,
14,0.988889,0.983087,0.985949,DoS Slowhttptest,
15,-,-,-,-,
16,-,-,0.999391,Accuracy,
17,0.912512,0.920894,0.914973,Macro Avg,
18,0.999423,0.999391,0.999402,Weighted Avg,65.01195486386617
