,precision,recall,f1-score,label,time
0,0.999969,0.999831,0.999900,BENIGN,
1,0.999331,0.999552,0.999441,DoS Hulk,
2,0.995287,0.998473,0.996871,SSH-Patator,
3,0.999741,0.999206,0.999474,PortScan,
4,0.987635,0.992616,0.990115,DoS GoldenEye,
5,0.999836,0.999516,0.999675,DDoS,
6,1.0,1.0,1.0,Heartbleed,
7,0.721755,0.694778,0.707115,Web Attack Brute Force,
8,0.998115,0.999621,0.998867,FTP-Patator,
9,0.36167,0.412530,0.383062,Web Attack XSS,
10,0.982741,0.988786,0.985728,DoS slowloris,
11,0.933333,1.0,0.963235,Infiltration,
12,0.871903,0.969334,0.916474,Bot,
13,0.702380,0.76,0.696065,Web Attack Sql Injection,
14,0.987456,0.985634,0.986529,DoS Slowhttptest,
15,-,-,-,-,
16,-,-,0.999358,Accuracy,
17,0.902744,0.919992,0.908170,Macro Avg,
18,0.999391,0.999358,0.999370,Weighted Avg,754.5701309283575
